Energy,s,py,pz,px,dxy,dyz,dz2,dxz,dx2,fy3x2,fxyz,fyz2,fz3,fxz2,fzx2,fx3,tot
-14.77507,-0.00001,-0.00056,-0.00017,-0.00184,-0.00061,-0.00062,-0.00025,-0.00213,-0.00004,0,-0.00017,-0.00008,-0.00005,-0.00029,-0.00001,0,-0.00684
-14.75107,-0.00002,-0.00056,-0.00032,-0.00136,-0.00023,-0.00064,-0.00047,-0.00162,-0.00006,0,-0.00007,-0.00008,-0.00009,-0.00023,-0.00001,0,-0.00577
-14.72707,-0.00002,-0.00054,-0.00029,-0.00124,-0.00022,-0.00063,-0.00043,-0.00147,-0.00005,0,-0.00006,-0.00008,-0.00008,-0.00021,-0.00001,0,-0.00534
-14.70307,-0.00003,-0.00077,-0.00041,-0.00162,-0.00024,-0.00089,-0.00062,-0.00194,-0.00008,-0.00001,-0.00007,-0.00012,-0.00012,-0.00027,-0.00002,0,-0.00721
-14.67907,-0.00002,-0.00085,-0.00039,-0.0015,-0.00024,-0.00098,-0.00061,-0.0018,-0.00008,-0.00001,-0.00007,-0.00013,-0.00012,-0.00025,-0.00002,0,-0.00707
-14.65507,-0.00002,-0.00096,-0.00038,-0.00151,-0.00026,-0.00113,-0.00059,-0.00183,-0.00008,-0.00001,-0.00007,-0.00015,-0.00012,-0.00026,-0.00002,0,-0.00737
-14.63107,-0.00002,-0.00105,-0.00038,-0.00152,-0.00027,-0.00124,-0.00061,-0.00185,-0.00008,-0.00001,-0.00008,-0.00017,-0.00012,-0.00026,-0.00002,0,-0.00768
-14.60707,-0.00002,-0.00115,-0.00039,-0.00153,-0.00028,-0.00136,-0.00063,-0.00188,-0.00009,-0.00001,-0.00008,-0.00018,-0.00013,-0.00027,-0.00002,0,-0.00802
-14.58307,-0.00002,-0.00124,-0.0004,-0.00155,-0.00028,-0.00147,-0.00066,-0.00191,-0.00009,-0.00001,-0.00008,-0.0002,-0.00013,-0.00027,-0.00002,0,-0.00835
-14.55907,-0.00002,-0.00125,-0.0004,-0.00151,-0.00029,-0.00149,-0.00066,-0.00186,-0.00009,-0.00001,-0.00008,-0.0002,-0.00013,-0.00027,-0.00002,0,-0.0083
-14.53507,-0.00002,-0.00191,-0.00043,-0.00153,-0.00031,-0.00227,-0.00071,-0.0019,-0.00009,-0.00002,-0.00009,-0.0003,-0.00014,-0.00027,-0.00002,0,-0.01002
-14.51107,-0.00003,-0.00282,-0.00047,-0.00155,-0.00032,-0.00338,-0.00079,-0.00194,-0.0001,-0.00003,-0.00009,-0.00045,-0.00016,-0.00028,-0.00002,0,-0.01244
-14.48707,-0.00003,-0.00373,-0.00054,-0.00162,-0.00035,-0.00449,-0.0009,-0.00205,-0.0001,-0.00004,-0.0001,-0.0006,-0.00018,-0.00029,-0.00003,0,-0.01506
-14.46307,-0.00003,-0.0046,-0.00063,-0.00178,-0.00039,-0.00555,-0.00107,-0.00227,-0.00011,-0.00004,-0.00011,-0.00074,-0.00022,-0.00033,-0.00003,0,-0.01792
-14.43907,-0.00004,-0.00456,-0.00074,-0.00192,-0.00045,-0.00555,-0.00129,-0.00247,-0.00013,-0.00004,-0.00013,-0.00075,-0.00027,-0.00036,-0.00003,0,-0.01871
-14.41507,-0.00005,-0.00482,-0.00096,-0.00221,-0.00049,-0.00591,-0.00171,-0.00288,-0.00016,-0.00005,-0.00014,-0.0008,-0.00036,-0.00042,-0.00004,0,-0.021
